id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
645,Nepoznata ulica,tertiary,60,0.03111293142903848
665,Стари београдски пут,secondary,80,0.07272870034016307
666,Стари београдски пут,secondary,80,0.03539856318191499
675,Стари београдски пут,secondary,80,0.18382450771161066
678,Стари београдски пут,secondary,80,0.19924759678969056
681,Стари београдски пут,secondary,80,0.19339820885383485
691,Стари београдски пут,secondary,80,0.24818350417098542
692,Стари београдски пут,secondary,80,0.0810428884376232
693,Стари београдски пут,secondary,80,0.1442834700262108
694,Стари београдски пут,secondary,0,0.03862496472916842
695,Стари београдски пут,secondary,0,0.09609302927896968
709,Nepoznata ulica,secondary,0,0.027270071825438086
711,Генерала Ђорђа Стратимировића,secondary,0,0.04654298319320898
713,Генерала Ђорђа Стратимировића,secondary,0,0.05811376835412022
715,Генерала Ђорђа Стратимировића,secondary,0,0.06528881956068516
717,Генерала Ђорђа Стратимировића,secondary,0,0.016634319555013315
718,Генерала Ђорђа Стратимировића,secondary,0,0.01078899280410541
789,Карађорђева,tertiary,0,0.007953780950567379
796,Карађорђева,tertiary,0,0.4918584832400201
797,Карађорђева,tertiary,0,0.4978950533143394
821,Митрополита Стратимировића,tertiary,0,0.38553300948786623
829,Митрополита Стратимировића,tertiary,0,0.11130852672145417
842,Вука Караџића,tertiary,0,0.4356044805854404
846,Иришки пут,primary,0,0.3918317694300697
851,Иришки пут,primary,0,0.23818444320427237
860,Иришки пут,primary,0,0.22144318821865477
882,Фрушкогорски пут,tertiary,0,0.07658744864016902
884,Фрушкогорски пут,tertiary,0,0.31920382562985644
888,Фрушкогорски пут,tertiary,0,0.4388350915339507
935,Вука Караџића,tertiary,0,0.24065861553679743
949,Вука Караџића,tertiary,40,0.11168656766440704
952,Вука Караџића,tertiary,0,0.09133286037427271
963,Вука Караџића,tertiary,0,1.108900272740202
972,Пут за старо село,tertiary,0,0.35364125488591663
983,Фрушкогорски пут,tertiary,0,2.6557649344517236
1065,Пут за старо село,tertiary,0,0.4745428798601199
1066,Фрушкогорска,tertiary,0,0.0695512603592957
1108,Фрушкогорска,tertiary,0,1.3256641132401734
1130,Дунавска,secondary,0,0.06266550337934791
1162,Nepoznata ulica,secondary,50,0.12538908394751433
1173,Фрушкогорски пут,tertiary,40,0.31560457597937586
1176,Фрушкогорски пут,tertiary,0,0.5033302119651827
1182,Фрушкогорски пут,tertiary,0,0.23167975559563553
1183,Nepoznata ulica,secondary,60,0.8172691671718931
1191,Фрушкогорски пут,tertiary,30,0.07645087434600378
1213,Дунавска,secondary,0,0.08273260980869822
1215,Дунавска,secondary,0,0.1771050812734358
1217,Дунавска,secondary,40,0.11350553292728624
1219,Дунавска,secondary,0,0.10562106864810988
1220,Дунавска,secondary,0,0.15459760347743753
1222,Дунавска,secondary,0,0.08932485375755427
1223,Дунавска,secondary,0,0.05482696776779443
1226,Дунавска,secondary,40,0.0823802967482744
1227,Фрушкогорска,tertiary,0,0.022321317178432033
1228,Фрушкогорска,tertiary,0,0.02937170955298106
1234,Дунавска,secondary,0,0.21569904165577758
1237,Дунавска,secondary,0,0.08679830845594957
1238,Дунавска,secondary,0,0.04989865200154003
1239,Дунавска,secondary,40,0.03118159630085881
1241,Дунавска,secondary,40,0.020534616457917536
1242,Дунавска,secondary,0,0.05105216315506296
1243,Дунавска,secondary,0,0.12490195041412132
1249,Лединачки пут,secondary,0,0.10200975175112685
1251,Лединачки пут,secondary,40,0.06678108137464345
1252,Лединачки пут,secondary,0,0.06443873121804915
1253,Лединачки пут,secondary,0,0.09350498589144642
1255,Лединачки пут,secondary,0,0.06079940051338195
1257,Лединачки пут,secondary,0,0.031234750591581588
1260,Лединачки пут,secondary,0,0.029053835064121097
1262,Лединачки пут,secondary,0,0.07989913776465997
1263,Лединачки пут,secondary,0,0.12289538106409376
1264,Лединачки пут,secondary,0,0.12125650663107537
1280,Дунавска,secondary,40,0.14070510854021379
1284,Дунавска,secondary,0,0.2624075086181959
1285,Дунавска,secondary,0,0.05163969140349245
1286,Новосадска,secondary,0,0.36978905931799866
1287,Дунавска,secondary,60,0.055293439429150555
1288,Дунавска,secondary,60,0.09644545286750443
1289,Дунавска,secondary,60,0.06886668196454773
1290,Дунавска,secondary,60,0.11853913005014773
1291,Дунавска,secondary,0,0.07727785484634837
1292,Дунавска,secondary,0,0.19040269096198006
1341,Подунавска,tertiary,0,0.08619194052780162
1345,Подунавска,tertiary,0,0.7269032793105096
1355,Подунавска,tertiary,0,1.14493153045649
1364,Ветерничка,tertiary,0,0.35389342160983195
1436,Манастирска,tertiary,0,0.829779872897363
1453,Nepoznata ulica,tertiary,0,0.017837427318597453
1456,Манастирска,tertiary,0,0.46456941114221556
1496,Железничка,tertiary,0,1.6454157088719203
1538,Фрушкогорска,tertiary,0,0.8513568128670143
1547,Светосавска,tertiary,0,0.21725877478061484
1549,Трг Беочинске фабрике цемента,tertiary,0,0.03778319310439799
1551,Светосавска,tertiary,0,0.059785797054794906
1561,Светосавска,tertiary,0,0.15457886080716193
1563,Светосавска,tertiary,0,0.04429260883408434
1565,Светосавска,tertiary,0,0.03085735912086129
1566,Светосавска,tertiary,0,0.1196812387812701
1571,Светосавска,tertiary,0,0.008529155038920988
1572,Светосавска,tertiary,0,0.00800591471840688
1574,Светосавска,tertiary,0,0.10792772879815556
1643,Дунавска,secondary,0,0.052986507986359996
1644,Дунавска,secondary,0,0.054207564447070214
1668,Железничка,tertiary,0,0.037022279476026265
1670,Новосадска,secondary,0,0.2894763513096995
1671,Беочински пут,secondary,0,0.04257517885471737
1673,Беочински пут,secondary,0,0.02797535858198418
1675,Nepoznata ulica,secondary,0,0.005421509586827704
1676,Nepoznata ulica,secondary,0,0.009045679816002659
1677,Новосадска,secondary,0,0.10491042755132048
1678,Мите Белића,secondary,0,0.20608876495742603
1680,Новосадска,secondary,0,0.027672330566518483
1736,Новосадска,secondary,0,0.050882314649882444
1737,Новосадска,secondary,0,0.10806271079048801
1738,Новосадска,secondary,0,0.07858357095103158
1741,Новосадска,secondary,0,0.10171269175818032
1743,Новосадска,secondary,0,0.13984214949877563
1751,Nepoznata ulica,secondary,0,0.41891242674952794
1754,Новосадска,secondary,0,0.10821305446291041
1755,Новосадска,secondary,0,0.3032515152910614
1756,Новосадска,secondary,0,0.05057062512053226
1757,Беочински пут,secondary,0,0.2703714355488837
1758,Беочински пут,secondary,0,0.09971863771729654
1759,Беочински пут,secondary,0,0.1471638741449111
1760,Беочински пут,secondary,0,0.07636776966549635
1761,Беочински пут,secondary,0,0.06154828481300375
1762,Беочински пут,secondary,0,0.03349026488174396
1764,Беочински пут,secondary,0,0.07485874793054702
1765,Беочински пут,secondary,0,0.26783893923782337
1767,Беочински пут,secondary,0,0.6547390161768929
1768,Светосавска,tertiary,0,0.26667380839304305
1785,Светосавска,tertiary,0,0.054266352598180516
1786,Светосавска,tertiary,30,0.035693124286248656
1793,Цементашка,tertiary,0,0.4074315884327192
1805,Светосавска,tertiary,0,0.17406415815809703
1846,Nepoznata ulica,secondary,80,0.3714292549760664
1849,Nepoznata ulica,secondary,80,0.025603026308795386
1861,Nepoznata ulica,secondary,0,0.24347046888982823
1867,Nepoznata ulica,secondary,0,0.08911313215720296
1871,Цементашка,tertiary,0,0.8718168105614892
1882,Nepoznata ulica,secondary,60,0.1087127547906987
1883,Nepoznata ulica,secondary,0,0.029996637690091095
1885,Nepoznata ulica,secondary,0,0.38899772482918044
1889,Nepoznata ulica,secondary,0,0.09716513282494084
1890,Nepoznata ulica,secondary,60,0.05125950205365996
1891,Nepoznata ulica,secondary,60,0.04790859034655362
1892,Nepoznata ulica,secondary,60,0.14182094132058573
1893,Nepoznata ulica,secondary,60,0.05546885305604073
