detekcija_id,klasa,confidence,naziv_slike,katastarski_znak_id,poklapa_se_sa_tipom,poklapa_se_sa_katastrom
73,car,0.0005010197637602687,znak1.jpg,3728,rucno_dodat_znak,True
74,car,0.0004981309175491333,znak1.jpg,3728,rucno_dodat_znak,True
75,traffic light,0.00046513613779097795,znak1.jpg,3728,rucno_dodat_znak,True
76,bicycle,0.0004446617094799876,znak1.jpg,3728,rucno_dodat_znak,True
77,person,0.0004326842608861625,znak1.jpg,3728,rucno_dodat_znak,True
78,bench,0.0004233932704664767,znak1.jpg,3728,rucno_dodat_znak,True
79,bench,0.00041632793727330863,znak1.jpg,3728,rucno_dodat_znak,True
80,car,0.00041499934741295874,znak1.jpg,3728,rucno_dodat_znak,True
81,car,0.00041329915984533727,znak1.jpg,3728,rucno_dodat_znak,True
82,bench,0.00040895360871218145,znak1.jpg,3728,rucno_dodat_znak,True
83,truck,0.00038909667637199163,znak1.jpg,3728,rucno_dodat_znak,True
84,traffic light,0.00038552735350094736,znak1.jpg,3728,rucno_dodat_znak,True
85,truck,0.00038413458969444036,znak1.jpg,3728,rucno_dodat_znak,True
86,person,0.0003831336216535419,znak1.jpg,3728,rucno_dodat_znak,True
87,traffic light,0.0003609854029491544,znak1.jpg,3728,rucno_dodat_znak,True
88,potted plant,0.00035968192969448864,znak1.jpg,3728,rucno_dodat_znak,True
89,bench,0.00035888509592041373,znak1.jpg,3728,rucno_dodat_znak,True
90,bench,0.0003540100296959281,znak1.jpg,3728,rucno_dodat_znak,True
91,bench,0.0003500510938465595,znak1.jpg,3728,rucno_dodat_znak,True
92,car,0.000346640677889809,znak1.jpg,3728,rucno_dodat_znak,True
93,bench,0.0003404309682082385,znak1.jpg,3728,rucno_dodat_znak,True
94,traffic light,0.00032892433227971196,znak1.jpg,3728,rucno_dodat_znak,True
95,traffic light,0.0003274634655099362,znak1.jpg,3728,rucno_dodat_znak,True
96,train,0.00032318744342774153,znak1.jpg,3728,rucno_dodat_znak,True
97,bench,0.0003123354690615088,znak1.jpg,3728,rucno_dodat_znak,True
98,traffic light,0.000306195201119408,znak1.jpg,3728,rucno_dodat_znak,True
99,car,0.00029266715864650905,znak1.jpg,3728,rucno_dodat_znak,True
100,stop sign,0.00028641955577768385,znak1.jpg,3728,rucno_dodat_znak,True
101,bench,0.0002808700082823634,znak1.jpg,3728,rucno_dodat_znak,True
102,traffic light,0.00025960782659240067,znak1.jpg,3728,rucno_dodat_znak,True
103,bench,0.00025736246607266366,znak1.jpg,3728,rucno_dodat_znak,True
104,bench,0.00025732224457897246,znak1.jpg,3728,rucno_dodat_znak,True
105,bench,0.0002480117545928806,znak1.jpg,3728,rucno_dodat_znak,True
106,traffic light,0.00022862415062263608,znak1.jpg,3728,rucno_dodat_znak,True
107,traffic light,0.00022605255071539432,znak1.jpg,3728,rucno_dodat_znak,True
108,traffic light,0.00021848836331628263,znak1.jpg,3728,rucno_dodat_znak,True
109,umbrella,0.0002120809949701652,znak1.jpg,3728,rucno_dodat_znak,True
110,car,0.00020966488227713853,znak1.jpg,3728,rucno_dodat_znak,True
111,person,0.00020504521671682596,znak1.jpg,3728,rucno_dodat_znak,True
112,traffic light,0.00020485703134909272,znak1.jpg,3728,rucno_dodat_znak,True
113,person,0.00019106878607999533,znak1.jpg,3728,rucno_dodat_znak,True
114,person,0.0001827596570365131,znak1.jpg,3728,rucno_dodat_znak,True
115,bench,0.00018212506256531924,znak1.jpg,3728,rucno_dodat_znak,True
116,truck,0.00017863407265394926,znak1.jpg,3728,rucno_dodat_znak,True
117,potted plant,0.000178469272213988,znak1.jpg,3728,rucno_dodat_znak,True
118,person,0.00017434556502848864,znak1.jpg,3728,rucno_dodat_znak,True
119,person,0.0001722425949992612,znak1.jpg,3728,rucno_dodat_znak,True
120,stop sign,0.00016868057718966156,znak1.jpg,3728,rucno_dodat_znak,True
121,traffic light,0.0001649246405577287,znak1.jpg,3728,rucno_dodat_znak,True
122,person,0.00016375674749724567,znak1.jpg,3728,rucno_dodat_znak,True
123,traffic light,0.00016120127111207694,znak1.jpg,3728,rucno_dodat_znak,True
124,person,0.00015935998817440122,znak1.jpg,3728,rucno_dodat_znak,True
125,bench,0.00015434938541147858,znak1.jpg,3728,rucno_dodat_znak,True
126,person,0.00015150207036640495,znak1.jpg,3728,rucno_dodat_znak,True
127,bench,0.00015132564294617623,znak1.jpg,3728,rucno_dodat_znak,True
128,traffic light,0.00015110877575352788,znak1.jpg,3728,rucno_dodat_znak,True
129,potted plant,0.00014263625780586153,znak1.jpg,3728,rucno_dodat_znak,True
130,traffic light,0.00014124102017376572,znak1.jpg,3728,rucno_dodat_znak,True
131,bench,0.0001400936598656699,znak1.jpg,3728,rucno_dodat_znak,True
132,fire hydrant,0.0001388391974614933,znak1.jpg,3728,rucno_dodat_znak,True
133,bench,0.00013637804659083486,znak1.jpg,3728,rucno_dodat_znak,True
134,person,0.00013625599967781454,znak1.jpg,3728,rucno_dodat_znak,True
135,bench,0.0001355582644464448,znak1.jpg,3728,rucno_dodat_znak,True
136,potted plant,0.0001351273531327024,znak1.jpg,3728,rucno_dodat_znak,True
137,frisbee,0.00012873161176685244,znak1.jpg,3728,rucno_dodat_znak,True
138,bench,0.00012768732267431915,znak1.jpg,3728,rucno_dodat_znak,True
139,truck,0.00012605149822775275,znak1.jpg,3728,rucno_dodat_znak,True
140,traffic light,0.00012571863771881908,znak1.jpg,3728,rucno_dodat_znak,True
141,potted plant,0.00012567643716465682,znak1.jpg,3728,rucno_dodat_znak,True
