id,naziv,tip_ulice,ogranicenje_brzine,duzina_km
4727,Nepoznata ulica,service,0,0.0577715642162179
4731,Милице Стојадиновић Српкиње,residential,30,0.17293692481400497
4732,Милице Стојадиновић Српкиње,residential,30,0.023553676132352472
4733,Милице Стојадиновић Српкиње,residential,30,0.013681879567094818
4734,Nepoznata ulica,service,0,0.01821612998546688
4735,Nepoznata ulica,service,0,0.03712032835857186
4784,Nepoznata ulica,service,0,0.0594426139712928
4743,Nepoznata ulica,service,0,0.03445806228723912
4744,Фрушкогорска,tertiary,0,0.043483823763899164
4740,Др Илије Ђуричића,residential,30,0.06255294135159171
4741,Вељка Петровића,residential,30,0.02377981525472569
4742,Вељка Петровића,residential,30,0.023281507883932573
4747,Др Илије Ђуричића,residential,30,0.02939272659277678
4748,Др Илије Ђуричића,residential,30,0.030374123743338047
4755,Др Илије Ђуричића,residential,30,0.05589502423416996
4756,Др Илије Ђуричића,residential,30,0.028003351110953617
4758,Nepoznata ulica,service,0,0.0461641160361904
4759,Др Илије Ђуричића,residential,30,0.029264806299890474
4760,Nepoznata ulica,service,30,0.01635882246850832
3512,Nepoznata ulica,service,0,0.04518055243349555
3513,Nepoznata ulica,service,0,0.011014046756990983
4563,Nepoznata ulica,service,20,0.009484280833558238
3520,Булевар цара Лазара,secondary,0,0.2490800742663988
4564,Nepoznata ulica,service,20,0.022440481668646144
4565,Nepoznata ulica,service,20,0.042261331146957216
4566,Nepoznata ulica,service,0,0.017166382032271922
4577,Nepoznata ulica,service,0,0.022030892955981245
4567,Булевар цара Лазара,secondary,0,0.3324617736034386
4568,Nepoznata ulica,service,0,0.021070132395081743
4714,Булевар ослобођења,secondary,0,0.2022726400164092
4715,Nepoznata ulica,service,0,0.02305328657589349
4716,Булевар ослобођења,secondary,0,0.1341092122191843
4782,Булевар цара Лазара,secondary,0,0.1672102328295794
4786,Булевар ослобођења,secondary,0,0.011202360876514331
4787,Булевар цара Лазара,secondary,0,0.012385932716511165
4792,Булевар цара Лазара,secondary,0,0.09575085678180704
4788,Nepoznata ulica,service,0,0.08887514301498199
4796,Nepoznata ulica,service,0,0.05769533895409465
4806,Булевар ослобођења,secondary,0,0.30646903990011687
4723,Nepoznata ulica,service,0,0.0580877329015977
4722,Nepoznata ulica,service,0,0.012525953958330609
4789,Nepoznata ulica,service,0,0.06081343527830352
4783,Nepoznata ulica,service,0,0.00639219899247213
4790,Nepoznata ulica,service,0,0.02737893819123843
4791,Nepoznata ulica,service,0,0.047153596457042965
4785,Благоја Паровића,residential,30,0.1895134820713648
4793,Булевар цара Лазара,secondary,0,0.30077201945717624
4795,Булевар цара Лазара,secondary,0,0.1871848330062121
4834,Nepoznata ulica,service,10,0.0124687721056304
4569,Nepoznata ulica,service,0,0.020885528429358396
4578,Nepoznata ulica,service,0,0.12153554587139902
4570,Nepoznata ulica,service,0,0.004452707062525824
4971,Nepoznata ulica,service,0,0.11402775315862392
4579,Nepoznata ulica,service,0,0.059372164080539094
4580,Nepoznata ulica,service,0,0.09834426603767481
4593,Вере Павловић,service,0,0.08455212739042406
4594,Nepoznata ulica,service,0,0.14067465522326236
4972,Nepoznata ulica,service,0,0.22156052631473647
4595,Владимира Николића,service,0,0.2013065658860496
4807,Nepoznata ulica,service,0,0.10903255312703365
4808,Nepoznata ulica,service,0,0.013646436581239667
4809,Nepoznata ulica,service,0,0.1400377972976351
4803,Nepoznata ulica,service,0,0.02854862084425345
4810,Булевар ослобођења,secondary,0,0.3997671585471308
4804,Nepoznata ulica,service,0,0.019106869319430394
4805,Nepoznata ulica,service,0,0.034433928731351066
4811,Nepoznata ulica,service,0,0.04689595495342032
4843,Nepoznata ulica,service,0,0.13919952423477094
4844,Алберта Томе,service,0,0.05251399062188311
4596,Војвођанска,residential,0,0.19917274627592546
4973,Nepoznata ulica,service,0,0.07923181277057924
4597,Nepoznata ulica,service,0,0.18829242728562018
4598,Nepoznata ulica,service,0,0.015126533215592002
4599,Nepoznata ulica,service,0,0.012672697747284344
4981,Nepoznata ulica,service,0,0.00561370609125191
4982,Nepoznata ulica,service,0,0.01607978030856137
4983,Nepoznata ulica,service,0,0.008860324114254357
4984,Nepoznata ulica,service,0,0.012831085178400673
4985,Ласла Гала,residential,0,0.2799143578675072
4836,Nepoznata ulica,service,10,0.08561304608292557
4839,Nepoznata ulica,service,0,0.016980101911968627
4841,Nepoznata ulica,service,0,0.02596558893004374
4842,Nepoznata ulica,service,10,0.1676131268711805
4849,Nepoznata ulica,service,0,0.14964312899585586
4848,Nepoznata ulica,service,0,0.04807635768752963
4859,Nepoznata ulica,service,0,0.008337811145050658
4860,Nepoznata ulica,service,0,0.08670727245937249
4850,Nepoznata ulica,service,0,0.15532162719757214
4864,Димитрија Туцовића,residential,30,0.013534292259674053
4986,Nepoznata ulica,service,0,0.0031262559267188723
4989,Војвођанска,residential,0,0.05295861118194821
4990,Војвођанска,residential,0,0.01759750676868174
4991,Војвођанска,service,0,0.08033718100288992
4987,Nepoznata ulica,service,0,0.04920115720980334
4992,Булевар ослобођења,secondary,0,0.02483075074625569
4993,Војвођанска,residential,0,0.01923936635979502
4988,Nepoznata ulica,service,0,0.00799984361820939
5001,Nepoznata ulica,service,0,0.012165773146440732
5173,Булевар ослобођења,secondary,0,0.14921673519114761
4845,Nepoznata ulica,service,0,0.011811640466167974
4846,Nepoznata ulica,service,0,0.05367297003913293
4847,Димитрија Туцовића,residential,30,0.26485095466614245
5174,Nepoznata ulica,service,0,0.07602290652740444
4853,Алберта Томе,service,0,0.10327342606678286
4854,Nepoznata ulica,service,0,0.06340772966647179
4851,Nepoznata ulica,service,0,0.009187846161392843
5178,Nepoznata ulica,service,0,0.05358573681412994
4852,Nepoznata ulica,service,0,0.011038512694220156
4855,Nepoznata ulica,service,0,0.03624732853630458
5175,Булевар ослобођења,secondary,0,0.08013326485270841
5181,Браће Рибникар,tertiary,0,0.05249722005779924
5182,Браће Рибникар,tertiary,0,0.08153769862906496
5183,Браће Рибникар,tertiary,0,0.042819718447532094
5184,Nepoznata ulica,service,0,0.01068720836246567
5179,Nepoznata ulica,tertiary,0,0.01214603917676079
5185,Булевар ослобођења,secondary,0,0.012248727420671738
5187,Браће Рибникар,tertiary,0,0.035645277431463084
5180,Булевар ослобођења,secondary,0,0.012602147522093606
5192,Nepoznata ulica,tertiary,0,0.012128741717928566
3124,Nepoznata ulica,service,30,0.05489382706562788
3125,Nepoznata ulica,residential,0,0.2799892593214862
3127,Nepoznata ulica,service,30,0.06455294201818448
584,Nepoznata ulica,unclassified,50,0.032065309307582876
585,Nepoznata ulica,service,30,0.031948644983148394
3129,Nepoznata ulica,service,30,0.23253664070907512
586,Nepoznata ulica,trunk,60,0.13858923398499037
597,Nepoznata ulica,residential,0,0.08091388899467337
598,Nepoznata ulica,unclassified,50,0.028477620543544867
599,Nepoznata ulica,service,30,0.013018037175686142
600,Nepoznata ulica,service,30,0.032625547003250766
601,Nepoznata ulica,service,30,0.008952051851123403
602,Nepoznata ulica,service,30,0.09451267944871634
603,Nepoznata ulica,unclassified,0,0.020165158341145687
605,Nepoznata ulica,service,30,0.016915488634480967
606,Nepoznata ulica,service,30,0.10206523809250194
